evidence_freeze_version,spec_version,estimand,pheno_type,moderator,moderator_class,outcome,effect_scale,latitude,landscape_type,contrast_type,moderator_level,moderator_value,estimate,std_error,conf_low,conf_high,p_value,p_value_bh,conf_high_5,conf_high_10,conf_low_5,conf_low_10,n_blocks_5,n_blocks_10,sign_stability_5,sign_stability_10,cluster_bh_significant,spatial_5_excludes_zero,spatial_10_excludes_zero,spatially_robust
B2R-v1.0,A4.3-v1.0,occurrence,EOS,lc_forest_frac,primary,mean_abs_anomaly_crossfit,resistance,,PA,moderator_high_minus_low,q75_minus_q25,0.5,1.6260419307654246,0.2509190257910229,1.1342496771791428,2.1178341843517066,9.151293794800334e-11,7.321035035840264e-10,2.4133008582020565,2.5380215997700297,0.8333992261825346,0.7558055373081035,299.0,90.0,1.0,0.998998998998999,True,True,True,True
B2R-v1.0,A4.3-v1.0,occurrence,EOS,lc_forest_frac,primary,mean_abs_anomaly_crossfit,resistance,,UA,moderator_high_minus_low,q75_minus_q25,0.5,1.753877049659288,0.2883641082842059,1.188693782988236,2.31906031633034,1.1857311279952123e-09,4.742924511980851e-09,2.622378892204789,2.693373824839385,0.8657113336437566,0.869595852407103,299.0,90.0,1.0,1.0,True,True,True,True
B2R-v1.0,A4.3-v1.0,occurrence,EOS,lc_forest_frac,primary,mean_abs_anomaly_crossfit,resistance,,UA_minus_PA,difference_in_moderator_heterogeneity,q75_minus_q25,0.5,0.1278351188938631,0.3402112310195806,-0.5389666410405509,0.7946368788282772,0.7071011259793352,0.9413069844657922,0.9770239415855226,1.0951101178339115,-0.758245554310795,-0.8621429966821633,299.0,90.0,0.6216216216216216,0.5955955955955956,False,False,False,False
