evidence_freeze_version,spec_version,estimand,pheno_type,moderator,moderator_class,outcome,effect_scale,latitude,landscape_type,contrast_type,moderator_level,moderator_value,estimate,std_error,conf_low,conf_high,p_value,p_value_bh,conf_high_5,conf_high_10,conf_low_5,conf_low_10,n_blocks_5,n_blocks_10,sign_stability_5,sign_stability_10,cluster_bh_significant,spatial_5_excludes_zero,spatial_10_excludes_zero,spatially_robust
B2R-v1.0,A4.3-v1.0,dose,SOS,precip_annual_mm,primary,mean_abs_anomaly_crossfit,resistance,,PA,moderator_high_minus_low,q75_minus_q25,401.0,-3.852056502742261,0.7915663365790017,-5.403498013811415,-2.300614991673108,1.136653020319558e-06,4.546612081278232e-06,-0.2016694449159252,-0.1916441721645558,-7.43910172957318,-7.536059265694591,298.0,91.0,0.97997997997998,0.981981981981982,True,True,True,True
B2R-v1.0,A4.3-v1.0,dose,SOS,precip_annual_mm,primary,mean_abs_anomaly_crossfit,resistance,,UA,moderator_high_minus_low,q75_minus_q25,401.0,-6.425459802229597,0.9213355659973744,-8.231244329260276,-4.619675275198917,3.0789820986400216e-12,2.4631856789120173e-11,-3.822948160481298,-3.3541953788135017,-9.221143932548184,-9.217216671414215,298.0,91.0,1.0,1.0,True,True,True,True
B2R-v1.0,A4.3-v1.0,dose,SOS,precip_annual_mm,primary,mean_abs_anomaly_crossfit,resistance,,UA_minus_PA,difference_in_moderator_heterogeneity,q75_minus_q25,401.0,-2.573403299487353,1.22164126787535,-4.967776186550887,-0.1790304124238186,0.0351598088757679,0.0703196177515358,1.4293849947624635,1.698191908527171,-6.485311884619489,-7.036725910773325,298.0,91.0,0.8958958958958959,0.8698698698698699,False,False,False,False
