spec_version,estimand,pheno_type,moderator,moderator_class,outcome,effect_scale,latitude,landscape_type,moderator_value,estimate,std_error,conf_low,conf_high,p_value
A4.3-v1.0,occurrence,EOS,lc_forest_frac,primary,mean_abs_anomaly_crossfit,resistance,25,PA,0.0,6.251449937634278,1.1872261377280808,3.9245294661826495,8.578370409085906,1.3973736657418564e-07
A4.3-v1.0,occurrence,EOS,lc_forest_frac,primary,mean_abs_anomaly_crossfit,resistance,25,UA,0.0,5.408513729860374,1.1599136622787345,3.1351247266180997,7.681902733102649,3.118465936405697e-06
A4.3-v1.0,occurrence,EOS,lc_forest_frac,primary,mean_abs_anomaly_crossfit,resistance,25,PA,0.0416666666666666,6.353211326386857,1.188420812541546,4.0239493353276,8.682473317446114,8.995528612646521e-08
A4.3-v1.0,occurrence,EOS,lc_forest_frac,primary,mean_abs_anomaly_crossfit,resistance,25,UA,0.0416666666666666,5.624456438747858,1.164143390716347,3.3427773201034774,7.906135557392238,1.3556808399862073e-06
A4.3-v1.0,occurrence,EOS,lc_forest_frac,primary,mean_abs_anomaly_crossfit,resistance,25,PA,0.0833333333333333,6.456644234497952,1.1926128104203273,4.119166078573016,8.794122390422888,6.167882538331055e-08
A4.3-v1.0,occurrence,EOS,lc_forest_frac,primary,mean_abs_anomaly_crossfit,resistance,25,UA,0.0833333333333333,5.8371980086599935,1.1750484759534077,3.534145315702635,8.140250701617353,6.7778516061569e-07
A4.3-v1.0,occurrence,EOS,lc_forest_frac,primary,mean_abs_anomaly_crossfit,resistance,25,PA,0.125,6.56342018132608,1.1990781881153902,4.213270117972371,8.91357024467979,4.4068119571251066e-08
A4.3-v1.0,occurrence,EOS,lc_forest_frac,primary,mean_abs_anomaly_crossfit,resistance,25,UA,0.125,6.043537300621429,1.190639044517411,3.7099276547801208,8.377146946462737,3.857128277847899e-07
A4.3-v1.0,occurrence,EOS,lc_forest_frac,primary,mean_abs_anomaly_crossfit,resistance,25,PA,0.1666666666666666,6.675210686229756,1.2067224756629424,4.310078094595376,9.040343277864135,3.1716600710724326e-08
A4.3-v1.0,occurrence,EOS,lc_forest_frac,primary,mean_abs_anomaly_crossfit,resistance,25,UA,0.1666666666666666,6.240273175656816,1.2080253756671462,3.87258694693874,8.607959404374892,2.395656594911743e-07
A4.3-v1.0,occurrence,EOS,lc_forest_frac,primary,mean_abs_anomaly_crossfit,resistance,25,PA,0.2083333333333333,6.793687268567494,1.2142248694505589,4.41385025531155,9.173524281823438,2.2051798380804893e-08
A4.3-v1.0,occurrence,EOS,lc_forest_frac,primary,mean_abs_anomaly_crossfit,resistance,25,UA,0.2083333333333333,6.424204494790804,1.223893133398173,4.025418032404508,8.8229909571771,1.5293423919090037e-07
A4.3-v1.0,occurrence,EOS,lc_forest_frac,primary,mean_abs_anomaly_crossfit,resistance,25,PA,0.25,6.920521447697812,1.2202174974366269,4.528939099416428,9.312103795979196,1.4151338546656824e-08
A4.3-v1.0,occurrence,EOS,lc_forest_frac,primary,mean_abs_anomaly_crossfit,resistance,25,UA,0.25,6.592130119048043,1.2350196548744652,4.171536075295004,9.01272416280108,9.414745512722641e-08
A4.3-v1.0,occurrence,EOS,lc_forest_frac,primary,mean_abs_anomaly_crossfit,resistance,25,PA,0.2916666666666666,7.057384742979226,1.2234925170840767,4.659383474140178,9.455386011818272,8.010901038204756e-09
A4.3-v1.0,occurrence,EOS,lc_forest_frac,primary,mean_abs_anomaly_crossfit,resistance,25,UA,0.2916666666666666,6.740848909453183,1.2388138213206397,4.312818436114291,9.168879382792074,5.2871280317569104e-08
A4.3-v1.0,occurrence,EOS,lc_forest_frac,primary,mean_abs_anomaly_crossfit,resistance,25,PA,0.3333333333333333,7.205948673770251,1.2232411327559094,4.80844010916069,9.603457238379812,3.8417874587393855e-09
A4.3-v1.0,occurrence,EOS,lc_forest_frac,primary,mean_abs_anomaly_crossfit,resistance,25,UA,0.3333333333333333,6.867159727030876,1.2339355616548608,4.448690466944145,9.285628987117606,2.617770273891564e-08
A4.3-v1.0,occurrence,EOS,lc_forest_frac,primary,mean_abs_anomaly_crossfit,resistance,25,PA,0.375,7.366747132223952,1.219560402478517,4.976452666394886,9.757041598053018,1.5364322417546752e-09
A4.3-v1.0,occurrence,EOS,lc_forest_frac,primary,mean_abs_anomaly_crossfit,resistance,25,UA,0.375,6.969075903399485,1.2216129264697135,4.574758564470269,9.3633932423287,1.1646942961739492e-08
A4.3-v1.0,occurrence,EOS,lc_forest_frac,primary,mean_abs_anomaly_crossfit,resistance,25,PA,0.4166666666666666,7.535735088966379,1.2141210027413434,5.156101650719689,9.915368527213069,5.409450271312817e-10
A4.3-v1.0,occurrence,EOS,lc_forest_frac,primary,mean_abs_anomaly_crossfit,resistance,25,UA,0.4166666666666666,7.0494989844525175,1.2071076743979896,4.683611417170556,9.415386551734478,5.220337493595612e-09
A4.3-v1.0,occurrence,EOS,lc_forest_frac,primary,mean_abs_anomaly_crossfit,resistance,25,PA,0.4583333333333333,7.707715636770661,1.2088722645735472,5.338369536297133,10.07706173724419,1.8182584469534936e-10
A4.3-v1.0,occurrence,EOS,lc_forest_frac,primary,mean_abs_anomaly_crossfit,resistance,25,UA,0.4583333333333333,7.1125601999141965,1.1961546093536088,4.768140245639545,9.456980154188848,2.744588899801904e-09
A4.3-v1.0,occurrence,EOS,lc_forest_frac,primary,mean_abs_anomaly_crossfit,resistance,25,PA,0.5,7.877491868399702,1.205328444469388,5.515091527698015,10.23989220910139,6.337355064075524e-11
A4.3-v1.0,occurrence,EOS,lc_forest_frac,primary,mean_abs_anomaly_crossfit,resistance,25,UA,0.5,7.1623907795196615,1.1928443374277606,4.824458838998707,9.500322720040616,1.9196510107733e-09
A4.3-v1.0,occurrence,EOS,lc_forest_frac,primary,mean_abs_anomaly_crossfit,resistance,25,PA,0.5416666666666666,8.039866876616404,1.204261500340616,5.679557707980628,10.40017604525218,2.4525025887010827e-11
A4.3-v1.0,occurrence,EOS,lc_forest_frac,primary,mean_abs_anomaly_crossfit,resistance,25,UA,0.5416666666666666,7.203121953004048,1.1985437285644915,4.8540194111212935,9.5522244948868,1.8564353009108838e-09
A4.3-v1.0,occurrence,EOS,lc_forest_frac,primary,mean_abs_anomaly_crossfit,resistance,25,PA,0.5833333333333333,8.189643754183674,1.20556975857909,5.82677044651801,10.552517061849338,1.0969381816091235e-11
A4.3-v1.0,occurrence,EOS,lc_forest_frac,primary,mean_abs_anomaly_crossfit,resistance,25,UA,0.5833333333333333,7.238884950102495,1.211523319639455,4.864342877178755,9.613427023026237,2.3005160794826558e-09
