spec_version,gap_days,event_min_days,dose_metric,pheno_type,outcome,model_form,boundary_excluded,latitude,landscape_type,dose,reference_dose,estimate,std_error,conf_low,conf_high,p_value
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,PA,7.5,1.0,2.7614462325483995,1.4797875111763268,-0.1388839941293635,5.661776459226163,0.0620259809566832
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,PA,7.75,1.0,2.9087670096526583,1.5203077357502337,-0.0709813978354367,5.888515417140754,0.05571283739447
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,PA,8.0,1.0,3.0607418969405096,1.5591265511176595,0.0049100094097491,6.11657378447127,0.0496330232899874
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,PA,8.25,1.0,3.21754326886318,1.5962154275949487,0.089018519209878,6.3460680185164815,0.0438279582123846
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,PA,8.5,1.0,3.379343499871908,1.6315513348855877,0.1815616445679073,6.577125355175909,0.038335851540536
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,PA,8.75,1.0,3.546314964417963,1.6651173356993445,0.2827449564139574,6.809884972421969,0.0331907050029933
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,PA,9.0,1.0,3.718630036952572,1.6969032451224555,0.3927607912634157,7.044499282641728,0.0284213139449416
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,PA,9.25,1.0,3.896461091926975,1.726906362589647,0.5117868165781991,7.28113536727575,0.0240503176844275
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,PA,9.5,1.0,4.079980503792427,1.755132283652429,0.639984439730128,7.519976567854727,0.0200933588898813
A3.2-v1.0,0,3,cumulative_days,SOS,mean_anomaly_crossfit,spline,False,35.0,PA,9.75,1.0,4.269360647000161,1.7815957989430014,0.7774970460640147,7.761224247936306,0.0165584187482227
