evidence_freeze_version,spec_version,gap_days,event_min_days,dose_metric,pheno_type,outcome,model_form,boundary_excluded,latitude,landscape_type,contrast,dose_low,dose_high,estimate,std_error,conf_low,conf_high,p_value,p_value_bh,conf_high_5,conf_high_10,conf_low_5,conf_low_10,n_blocks_5,n_blocks_10,sign_stability_5,sign_stability_10,cluster_bh_significant,spatial_5_excludes_zero,spatial_10_excludes_zero,spatially_robust
B2R-v1.0,A3.2-v1.0,0,3,cumulative_days,SOS,mean_abs_anomaly_crossfit,spline,False,25.0,UA_minus_PA,difference_in_high_minus_low,3.0,10.0,-0.4525454278989465,3.617907405473289,-7.543513642027341,6.638422786229449,0.900456372057787,0.949734920348597,8.864214718789555,6.351964630675073,-9.183230992862596,-7.586095513309291,298.0,91.0,0.5395395395395396,0.5595595595595596,False,False,False,False
B2R-v1.0,A3.2-v1.0,0,3,cumulative_days,SOS,mean_abs_anomaly_crossfit,spline,False,35.0,UA_minus_PA,difference_in_high_minus_low,3.0,10.0,-8.0417385342305,1.682206803431298,-11.338803283504095,-4.744673784956905,1.7488617795535655e-06,1.3990894236428526e-05,-3.1638640846476123,-2.7225700759715856,-12.842791949249024,-13.622129093993967,298.0,91.0,0.998998998998999,1.0,True,True,True,True
B2R-v1.0,A3.2-v1.0,0,3,cumulative_days,SOS,mean_abs_anomaly_crossfit,spline,False,45.0,UA_minus_PA,difference_in_high_minus_low,3.0,10.0,-0.5593491871452707,0.9687497656910794,-2.4580638379314026,1.339365463640861,0.5636741038505722,0.9018785661609154,3.489756857800568,3.625441696641841,-4.679130383882041,-4.430093334667447,298.0,91.0,0.6036036036036037,0.5935935935935935,False,False,False,False
B2R-v1.0,A3.2-v1.0,0,3,cumulative_days,SOS,mean_abs_anomaly_crossfit,spline,False,55.0,UA_minus_PA,difference_in_high_minus_low,3.0,10.0,-0.8472740906588854,0.6578630982481054,-2.136662069983107,0.4421138886653364,0.1977743158530471,0.4611246164691656,1.724860543021988,1.5888857518291732,-3.6075537601131327,-3.322568927503486,298.0,91.0,0.7257257257257257,0.7487487487487487,False,False,False,False
