pheno_type,latitude_bin,longitude_bin,event_numerator,event_denominator,event_anomaly_sum,event_anomaly_n,latitude,longitude,event_frequency,mean_event_anomaly
EOS,23,-111,121,285,-0.3480965262891371,1.9191898333368331,23.5,-110.5,0.4245614035087719,-0.18137680819406643
EOS,23,-110,175,350,-47.91085411364253,10.780630747475811,23.5,-109.5,0.5,-4.444160572409961
EOS,23,-105,42,133,-8.791362820403528,2.0593734516129354,23.5,-104.5,0.3157894736842105,-4.26895025451454
EOS,23,-104,38,93,-30.786375684861007,9.153280629367494,23.5,-103.5,0.40860215053763443,-3.3634253041565922
EOS,23,-101,61,187,-41.31412202155423,7.408964883882609,23.5,-100.5,0.32620320855614976,-5.576234017713943
EOS,23,-100,49,231,-9.425762861023152,0.6439292470011017,23.5,-99.5,0.21212121212121213,-14.637885924456272
EOS,23,-99,40,146,-1.165352411908262,0.08635549267151824,23.5,-98.5,0.273972602739726,-13.494826742996727
EOS,23,86,1,2,-0.34075358898396213,0.012620503295702301,23.5,86.5,0.5,-27.0
EOS,23,90,8,83,1.758593981565184,1.243883687739319,23.5,90.5,0.0963855421686747,1.4137929445487938
EOS,23,95,75,226,10.551728037250786,7.266984123146871,23.5,95.5,0.33185840707964603,1.452009232226243
EOS,23,100,5,23,0.7884109490631294,0.24983565769588878,23.5,100.5,0.21739130434782608,3.155718268297869
EOS,23,102,6,22,-0.2286434433302984,0.07330043737189396,23.5,102.5,0.2727272727272727,-3.1192643799690147
EOS,23,104,3,15,-0.0017613764828129281,0.0001273021428002119,23.5,104.5,0.2,-13.836188803021438
EOS,23,105,4,23,-1.1758329954190711e-05,0.0001019852654358111,23.5,105.5,0.17391304347826086,-0.11529439967571915
EOS,23,106,20,72,0.008127628698250317,0.002086843987067488,23.5,106.5,0.2777777777777778,3.8946987645547795
EOS,23,107,13,65,-0.00025910154298375174,0.00038103533533451195,23.5,107.5,0.2,-0.679993478180405
EOS,23,108,25,69,-0.0004523392318267131,0.00039689276333254586,23.5,108.5,0.36231884057971014,-1.1397013843956387
EOS,23,109,9,22,-0.009578171640461687,0.001066585752967919,23.5,109.5,0.4090909090909091,-8.980217121604268
EOS,23,111,31,71,-0.0003541208054346146,0.000821706948709755,23.5,111.5,0.43661971830985913,-0.43095754026500005
EOS,23,112,23,70,-0.13931973678627912,0.09685884869559924,23.5,112.5,0.32857142857142857,-1.4383790295104868
EOS,23,113,71,283,0.008783522497633945,0.011813309093646751,23.5,113.5,0.2508833922261484,0.7435276964316256
EOS,23,114,56,195,-0.03928879033934193,0.013154021834200669,23.5,114.5,0.28717948717948716,-2.986827210305402
EOS,23,115,13,43,-2.025555544341338,0.45944670162132617,23.5,115.5,0.3023255813953488,-4.40868448330007
EOS,23,116,25,95,0.00980371931278533,0.02478098118866845,23.5,116.5,0.2631578947368421,0.39561465456695705
EOS,23,120,52,236,0.3642655815368909,0.04952574099707289,23.5,120.5,0.22033898305084745,7.355075849514701
EOS,23,121,161,1019,5.7907638512236765,1.305064984696281,23.5,121.5,0.15799803729146222,4.437145980566878
EOS,24,-111,15,44,-0.0006230828613039536,0.00034766109313966176,24.5,-110.5,0.3409090909090909,-1.7922133756095908
EOS,24,-105,16,48,-4.144630035822054,8.12371730213692,24.5,-104.5,0.3333333333333333,-0.5101888558741232
EOS,24,-102,32,95,-288.78215337543145,21.78155681397166,24.5,-101.5,0.3368421052631579,-13.258104360575077
EOS,24,-100,12,54,9.371592109271669,4.0972164230378745,24.5,-99.5,0.2222222222222222,2.2873070742802297
EOS,24,47,4,6,1.504000007557238e-06,4.000000020099037e-08,24.5,47.5,0.6666666666666666,37.6
EOS,24,55,2,5,1.9325000097103473e-06,2.0000000100495186e-08,24.5,55.5,0.4,96.625
EOS,24,67,131,239,-80.16807776471798,16.977668776622306,24.5,67.5,0.5481171548117155,-4.721972069281196
EOS,24,68,39,69,10.261375192019685,4.474360380645503,24.5,68.5,0.5652173913043478,2.2933725312799473
EOS,24,69,2244,4166,26.93460294378325,20.887408756780182,24.5,69.5,0.5386461833893423,1.2895138529349703
EOS,24,70,1407,2693,-0.023805878092333175,0.008650543321251276,24.5,70.5,0.5224656516895655,-2.7519517801674596
EOS,24,71,30,59,5.488841424506393e-05,1.6132744061058617e-05,24.5,71.5,0.5084745762711864,3.402298706117464
EOS,24,80,12,22,2.318326971907447,3.9905797845216395,24.5,80.5,0.5454545454545454,0.5809499113135387
EOS,24,90,2,19,11.148340886014505,1.534429292257015,24.5,90.5,0.10526315789473684,7.265464066849404
EOS,24,91,4,42,-0.3677184099327374,0.48217342243285705,24.5,91.5,0.09523809523809523,-0.7626268741179787
EOS,24,93,41,176,-9.785427030236932,7.886682226325302,24.5,93.5,0.23295454545454544,-1.2407533040413021
EOS,24,97,3,17,-0.1100964513250472,0.016905533074005663,24.5,97.5,0.17647058823529413,-6.512450736873482
EOS,24,98,21,75,-20.72069798361574,5.373177803853567,24.5,98.5,0.28,-3.8563209221841026
EOS,24,99,11,57,17.833684145725023,7.302917770487065,24.5,99.5,0.19298245614035087,2.4419943789858136
EOS,24,101,10,42,-1.1539696031421158,0.5696013822873852,24.5,101.5,0.23809523809523808,-2.0259248643464405
EOS,24,102,250,767,-95.84115716153183,69.32208170194058,24.5,102.5,0.3259452411994785,-1.3825487464962969
